53.5,23.5,-2.2742482729142
53.5,24.5,-3.880721312962
53.5,25.5,-3.8052311356968
53.5,26.5,-1.3446767460309
53.5,27.5,1.6125892847583
53.5,28.5,-4.9386123362944
53.5,29.5,-4.5681420362779
54.5,23.5,0.664507039512195
54.5,24.5,-0.376037520735998
54.5,25.5,-2.5248805724206
54.5,26.5,0.7488797423619
54.5,27.5,2.1912408223725
54.5,28.5,-4.9737152891195
54.5,29.5,-4.209969630005
55.5,23.5,-3.0630075464464
55.5,24.5,-4.7953517125869
55.5,25.5,-7.3544568140297
55.5,26.5,-0.718531205405199
55.5,27.5,-1.6125149105304
55.5,28.5,-2.0555293959249
55.5,29.5,1.2652596402436
56.5,23.5,-2.6525474420394
56.5,24.5,6.6362139570331
56.5,25.5,6.3200827108597
56.5,26.5,-3.4602357398397
56.5,27.5,-3.6645678900046
56.5,28.5,2.5386879474154
56.5,29.5,-8.7243517140795
57.5,23.5,-1.1503577561435
57.5,24.5,3.5639292833825
57.5,25.5,2.6204883582048
57.5,26.5,0.8623010883909
57.5,27.5,-6.9036627644341
57.5,28.5,0.643238070265895
57.5,29.5,-8.7486977053537
58.5,23.5,1.9894099162012
58.5,24.5,4.777470804164
58.5,25.5,4.8744177072147
58.5,26.5,5.1622461141441
58.5,27.5,5.8649715927304
58.5,28.5,-5.4313246580651
58.5,29.5,0.5563398968279
59.5,23.5,1.1906474832234
59.5,24.5,-1.2667366206207
59.5,25.5,1.1048146837323
59.5,26.5,3.0588698291028
59.5,27.5,3.5983765189273
59.5,28.5,3.2849864650848
59.5,29.5,3.2994696432811
60.5,23.5,2.7830010679869
60.5,24.5,1.5576477545582
60.5,25.5,3.6927325905591
60.5,26.5,3.0210688866745
60.5,27.5,1.296787708055
60.5,28.5,6.785253114416
60.5,29.5,-2.9027240871843
61.5,23.5,3.7007711667823
61.5,24.5,0.283427881613598
61.5,25.5,6.1466501009996
61.5,26.5,-2.4400829848601
61.5,27.5,-0.310518704456797
61.5,28.5,4.662580340369
61.5,29.5,8.5005928223187
62.5,23.5,0.619099330813903
62.5,24.5,1.4851239718916
62.5,25.5,4.1347919595817
62.5,26.5,-3.0791641760862
62.5,27.5,-5.4104574701061
62.5,28.5,7.7484076551332
62.5,29.5,6.570212279218
63.5,23.5,-0.726525643498
63.5,24.5,1.1244184196792
63.5,25.5,5.5988186709757
63.5,26.5,-4.4229736876445
63.5,27.5,-3.4935487462833
63.5,28.5,2.09292904354439
63.5,29.5,-1.4296743725169
64.5,23.5,-2.1418919520142
64.5,24.5,-2.0197677413256
64.5,25.5,3.3915809830772
64.5,26.5,-1.8155261267436
64.5,27.5,-1.966679142078
64.5,28.5,0.905789073805096
64.5,29.5,-3.6364736556556
65.5,23.5,-2.3543785153885
65.5,24.5,1.8161633956073
65.5,25.5,-1.6332153368961
65.5,26.5,1.8774759153822
65.5,27.5,-5.7299480333683
65.5,28.5,-1.1350739761836
65.5,29.5,-5.6902030527686
